Quotation_ID,Date,Client,Project,Item,Unit,Quantity,Cement_Bags,Sand_CFT,Aggregate_CFT,Steel_Kg,Bricks_Nos,Water_Cost,Equipment_Cost,Labour_Cost,Electrical_Cost,Material_Cost,Transport,Safety,GST,Profit,Total
QTN-00001,2026-07-18,SPPS Construction,Project 64,Waterproofing,Nos,346,1,753,744,1177,7971,2313,17311,69275,18317,304326,8184.58,4092.29,75871.06,49737.69,547114.62
QTN-00002,2026-03-19,ABC Builders,Project 100,Painting,Nos,414,503,266,120,4711,9160,2639,8084,70392,18410,691274,15763.2,7881.6,146124.86,95792.97,1053722.63
QTN-00003,2026-08-06,Green Homes,Project 64,Plastering,Nos,278,30,46,453,774,7831,893,42277,27444,18883,193131,5634.7,2817.35,52233.67,34242.07,376662.79
QTN-00004,2026-12-12,Skyline,Project 83,Brickwork,Nos,95,302,576,892,2338,3713,4057,17742,63076,59,498131,11580.16,5790.08,107348.08,70372.63,774098.96
QTN-00005,2026-04-28,Skyline,Project 93,Earthwork,Nos,318,528,554,249,41,307,387,22483,25556,12438,317718,7563.9,3781.95,70117.35,45965.82,505624.02
QTN-00006,2026-11-13,Skyline,Project 70,RCC,Nos,260,233,316,511,2726,4479,1547,28667,49799,13622,433279,10507.34,5253.67,97403.04,63853.11,702384.16
QTN-00007,2026-08-19,ABC Builders,Project 79,Plastering,Nos,347,537,42,242,1890,6759,4470,28300,24255,3320,474342,10604.34,5302.17,98302.23,64442.57,708868.32
QTN-00008,2026-02-09,Skyline,Project 73,RCC,Nos,108,416,360,658,1458,3726,180,26985,80494,13963,434298,11114.8,5557.4,103034.2,67544.64,742991.04
QTN-00009,2026-07-02,XYZ Infra,Project 56,Plastering,Nos,272,87,603,786,1247,5782,3679,39578,45455,10660,325170,8417.26,4208.63,78028,51151.69,562668.58
QTN-00010,2026-08-16,Skyline,Project 48,Brickwork,Nos,288,503,725,651,3539,4206,4420,22236,33246,18056,665963,14790.02,7395.01,137103.49,89878.95,988668.47
QTN-00011,2026-02-18,XYZ Infra,Project 25,Plastering,Nos,205,30,194,754,3754,4253,3559,5782,33742,15520,438633,9873.54,4936.77,91527.72,60001.5,660016.53
QTN-00012,2026-08-05,XYZ Infra,Project 99,Waterproofing,Nos,420,557,729,328,1633,5325,855,6334,55534,18605,514260,11894.66,5947.33,110263.5,72283.85,795122.34
QTN-00013,2026-09-08,ABC Builders,Project 87,Brickwork,Nos,106,216,598,103,1610,6404,694,41520,7951,2762,330076,7646.18,3823.09,70880.09,46465.84,511124.19
QTN-00014,2026-09-05,ABC Builders,Project 29,Brickwork,Nos,36,551,678,389,996,810,3099,43531,13715,6149,433149,9930.88,4965.44,92059.26,60349.96,663849.54
QTN-00015,2026-01-26,SPPS Construction,Project 35,Flooring,Nos,146,140,682,72,3623,6243,2002,28625,18795,1722,449871,9980.26,4990.13,92517.01,60650.04,667150.44
QTN-00016,2026-01-21,XYZ Infra,Project 30,Flooring,Nos,160,592,204,241,4879,5004,1129,14089,98521,11468,718726,16856.08,8428.04,156255.86,102434.4,1126778.38
QTN-00017,2026-04-15,ABC Builders,Project 54,Earthwork,Nos,491,137,169,572,1730,3222,2031,3576,91135,9707,301367,8115.7,4057.85,75232.54,49319.11,542510.2
QTN-00018,2026-08-16,XYZ Infra,Project 74,Flooring,Nos,404,321,128,355,1259,446,1460,38869,40591,11911,296743,7762.28,3881.14,71956.34,47171.38,518885.13
QTN-00019,2026-05-25,ABC Builders,Project 80,PCC,Nos,197,240,590,680,1904,4812,1005,28905,98453,18580,419101,11300.78,5650.39,104758.23,68674.84,755423.24
QTN-00020,2026-10-09,Green Homes,Project 61,Plastering,Nos,386,408,630,887,446,7568,2114,16245,72410,19225,436548,10888.56,5444.28,100936.95,66169.78,727867.57
QTN-00021,2026-09-26,Green Homes,Project 83,Plastering,Nos,273,508,131,386,4736,773,1069,12234,63600,11425,647853,14702.24,7351.12,136289.76,89345.51,982800.64
QTN-00022,2026-10-19,XYZ Infra,Project 24,Painting,Nos,114,188,157,855,2686,6759,4904,38435,93544,13946,460186,12122.22,6061.11,112372.98,73666.73,810334.04
QTN-00023,2026-06-12,XYZ Infra,Project 19,Earthwork,Nos,89,152,267,170,4476,1060,1001,49076,15676,2230,455341,10446.46,5223.23,96838.68,63483.14,698314.51
QTN-00024,2026-02-03,XYZ Infra,Project 31,Flooring,Nos,442,204,24,161,4497,4685,2617,29790,44679,6697,490412,11431.56,5715.78,105970.56,69469.59,764165.49
QTN-00025,2026-09-18,SPPS Construction,Project 40,Flooring,Nos,438,488,497,737,220,2088,1237,48677,15254,15722,382241,9237.88,4618.94,85635.15,56138.6,617524.56
QTN-00026,2026-11-10,ABC Builders,Project 27,RCC,Nos,256,502,584,875,147,8936,4612,31337,8765,3677,464745,10170.48,5085.24,94280.35,61806.01,679866.08
QTN-00027,2026-08-10,XYZ Infra,Project 36,PCC,Nos,11,377,439,458,1376,236,4613,16448,35961,10256,369431,8641.92,4320.96,80110.6,52516.95,577686.43
QTN-00028,2026-12-06,ABC Builders,Project 72,Waterproofing,Nos,371,119,418,355,2391,3460,2336,33544,39219,8328,338931,8400.44,4200.22,77872.08,51049.47,561544.21
QTN-00029,2026-02-26,SPPS Construction,Project 51,Waterproofing,Nos,485,523,106,17,864,6678,1061,16112,67518,12110,365155,9217.9,4608.95,85449.93,56017.18,616188.96
QTN-00030,2026-01-21,SPPS Construction,Project 90,Plastering,Nos,331,38,588,173,4619,5038,2548,12636,22302,10997,474177,10402.24,5201.12,96428.76,63214.41,695358.54
QTN-00031,2026-05-14,ABC Builders,Project 97,Flooring,Nos,60,552,279,334,2574,9731,726,37561,60949,235,582424,13623.38,6811.69,126288.73,82789.28,910682.08
QTN-00032,2026-06-02,Skyline,Project 62,RCC,Nos,65,329,30,382,4958,7722,1532,12252,14880,16006,631448,13491.72,6745.86,125068.24,81989.18,901881.01
QTN-00033,2026-06-21,Green Homes,Project 11,Earthwork,Nos,269,155,691,464,4812,6370,3422,8608,19735,11226,595992,12711.22,6355.61,117833.01,77246.08,849706.92
QTN-00034,2026-12-18,XYZ Infra,Project 22,Brickwork,Nos,128,40,756,161,1944,1216,2801,23045,36174,19879,256129,6704.54,3352.27,62151.09,40743.49,448178.39
QTN-00035,2026-04-05,ABC Builders,Project 71,RCC,Nos,386,579,776,448,3892,2355,4088,1677,59735,7139,691218,15195.38,7597.69,140861.17,92342.32,1015765.57
QTN-00036,2026-10-27,Skyline,Project 20,RCC,Nos,438,61,472,268,1813,4398,2615,25320,19719,14955,271144,6622.76,3311.38,61392.99,40246.51,442711.64
QTN-00037,2026-06-12,Green Homes,Project 62,Waterproofing,Nos,498,140,49,144,3126,3727,3088,43159,53420,11927,351554,9201.2,4600.6,85295.12,55915.69,615072.62
QTN-00038,2026-10-13,XYZ Infra,Project 68,RCC,Nos,111,154,220,647,1054,97,776,20621,10271,12074,245142,5762.16,2881.08,53415.22,35016.65,385183.11
QTN-00039,2026-07-14,Skyline,Project 82,Flooring,Nos,56,248,691,248,220,1332,414,11660,72434,13047,224210,6427.02,3213.51,59578.48,39057,429627.01
QTN-00040,2026-05-11,Skyline,Project 38,Waterproofing,Nos,148,243,224,857,2363,2185,1356,21885,6409,17757,426171,9444.44,4722.22,87549.96,57393.86,631332.48
QTN-00041,2026-07-14,SPPS Construction,Project 29,Earthwork,Nos,415,254,100,607,636,5701,1869,25603,42512,17473,290317,7518.1,3759.05,69692.79,45687.49,502562.43
