User ID,Gender,Age,Estimated,Purchased
15624510,Male,19,19000,0
15650010,Male,35,20000,0
15586243,Female,26,43000,0
15326200,Female,27,57000,0
16235420,Male,35,76000,0
16574200,Male,26,58000,0
15368462,Female,24,84000,0
15479532,Female,28,150000,1
15865243,Male,40,33000,0
15486325,Female,25,65000,0
15846729,Female,20,80000,0
16258436,Female,23,52000,1
16583235,Male,28,82000,1
16842356,Male,35,20000,0
15846253,Female,34,25000,0
15765232,Female,29,32000,0
15846723,Female,37,55000,0
15952423,Male,42,62000,0
15959559,Male,50,58000,1
16250000,Male,45,75220,0
16351571,Female,28,82100,0
16500359.5,Male,42,160000,1
16649148,Female,35,25000,0
16797936.5,Female,32,65010,0
16946725,Female,48,35000,0
17095513.5,Male,22,90000,1
17244302,Male,27,75130,0
17393090.5,Male,28,36000,0
17541879,Female,35,45000,1
17690667.5,Male,36,75500,0
17839456,Female,40,83000,1
17988244.5,Male,37,15000,1
